Facility #,Business Type
7123280,RS
7122554,RS
7116731,RS
7063203,RS
3010356,RS
7116962,RS
7001863,RS
7121502,RS
7125522,RS
7068059,RS
7101239,RS
7098865,RS
7103688,RS
7051229,RS
3010134,RS
7070582,RS
7073596,RS
3010372,RS
7084173,RS
7105307,RS
7123089,RS
7108128,RS
7126278,RS
7060933,RS
7104656,RS
7123804,RS
3010468,RS
7066405,RS
7123145,RS
7111795,RS
3010045,RS
7034558,RS
7093330,RS
7090053,RS
7124244,RS
7117664,RSB
7119618,RS
7048834,RSB
7037318,RSB
7032249,RSB
7052744,RS
7116086,RS
3010253,RSB
7030787,RS
7099805,RS
7110239,RS
7110232,RS
7109610,RS
7091172,RS
7102046,RS
3010751,RSB
3010721,RS
7121871,RS
7114726,RS
7124801,RS
7051598,RS
7028551,RSB
7103465,RS
7114959,RSB
7103219,RS
7103122,RSB
7120029,RSB
3010031,RS
7103952,RS
7081461,RS
7077492,RS
7063179,RS
7108969,RS
7097398,RS
7058755,RS
3010116,RS
3470408,RS
7122247,RS
7100673,RS
3010077,RS
7120095,RS
3010239,RSB
7046850,RS
7078927,RS
3010234,RS
3010120,RS
7072178,RS
7111216,RS
7060687,RS
7119820,RS
3010237,RS
3010236,RS
7109483,RS
3010174,RS
7038365,RSB
3010110,RS
7126701,RS
7110516,RS
7117924,RS
7122289,RS
7002493,RS
7109861,RS
3420306,RS
7116877,RS
7123962,RS
3010192,RS
3010064,RS
3010121,RS
7089496,RSB
7113255,RS
7122385,RS
7116779,RS
3010144,RS
7124973,RS
7107994,RS
7000460,RS
7047828,RS
7076213,RS
7098675,RS
7068557,RS
7093105,RS
7105468,RS
7069237,RS
7119460,RS
3010632,RS
7086352,RS
7121355,RS
7090355,RS
7112225,RS
7124675,RS
7115736,RS
7110357,RS
3010713,RSB
7066937,RS
3010364,RS
7110928,RS
7089318,RS
7011367,RS
3010043,RS
3010619,RS
7086497,RS
7009528,RS
7120726,RS
7071864,RS
7032042,RSB
7054184,RS
7125563,RS
7107267,RS
7107266,RS
7118528,RS
7109233,RS
7106620,RS
7039825,RSB
7084399,RS
7100830,RS
7111611,RS
7086809,RS
7121304,RS
7113037,RS
7121036,RS
7062261,RS
3010591,RS
7120126,RS
7095063,RS
7127188,RS
7115903,RS
7122746,RS
3010157,RS
3010492,RS
7109185,RSB
7105880,RS
3010122,RS
3010758,RS
7083286,RS
7074426,RS
7064848,RS
7103975,RS
7109950,RS
3010038,RSB
7108708,RS
3010552,RS
7126504,RS
7036352,RS
7036049,RS
7119288,RS
7090832,RS
7117422,RS
3010328,RS
7109163,RS
3010090,RS
7032878,RS
7116799,RS
7119779,RS
3010189,RS
7054008,RS
7079338,RS
7107582,RS
7113527,RS
7108387,RSB
3010126,RS
7095139,RS
7112124,RS
7034747,RSB
3010252,RS
7000185,RS
7094515,RS
7076202,RS
7088070,RS
7103326,RS
7091163,RS
7090248,RS
7082026,RS
7087896,RS
3010370,RSB
3010724,RS
7122087,RS
3010269,RS
7118115,RS
7122060,RS
7061563,RS
7117446,RS
7022514,RS
7064529,RSB
7079020,RS
7112721,RS
7111214,RSB
3010275,RS
7066886,RS
7122717,RS
7120493,RS
7110648,RS
7093814,RS
7102706,RS
7115533,RS
7043975,RS
7081973,RS
7115863,RS
7118022,RSB
3010179,RS
3010556,RS
7126942,RS
7041812,RS
7066648,RS
7041554,RS
7095443,RS
3010677,RS
7098007,RS
7059906,RS
3010753,RSB
7083009,RS
7121059,RS
7100151,RS
7075660,RS
7058727,RS
3010096,RS
3010282,RS
7056522,RS
7043257,RSB
7028616,RS
3010320,RS
7100495,RS
7047067,RS
7124149,RSB
7122257,RS
7109243,RSB
7093113,RS
7124315,RS
7078608,RS
3010594,RS
7087683,RS
7094312,RS
7122063,RS
7104567,RS
7083653,RS
7042266,RS
7009554,RS
3010001,RS
7032309,RS
7035635,RSB
7093374,RS
7026379,RS
7088449,RS
7082171,RS
7113982,RS
7106236,RS
7028698,RS
7091816,RS
7120714,RS
7078207,RS
7120336,RS
7119668,RS
7065664,RS
3010281,RS
7022891,RS
7001547,RSB
7069212,RS
7043029,RSB
7085089,RS
7109161,RS
3010712,RSB
3010615,RSB
3420415,RS
7066318,RS
7117151,RS
7097150,RS
7094330,RS
7034781,RSB
7093378,RS
7108090,RS
7045414,RS
7061828,RS
7125149,RS
3010445,RS
7120792,RS
7088432,RS
7124862,RS
7096194,RS
7120335,RS
7118257,RS
7123214,RS
3010643,RS
7126232,RS
7020221,RS
3010310,RSB
7118334,RS
7062287,RS
7071457,RSB
7116299,RS
3010238,RS
7127413,RS
7116717,RS
3010684,RS
7122299,RS
3010191,RS
7093376,RS
7041427,RS
7118444,RS
7097893,RS
3010151,RS
7037632,RSB
7074909,RS
3010509,RS
7080212,RS
7079865,RS
3010123,RSB
7082856,RS
3010011,RS
7120469,RS
7104200,RS
7109700,RS
3010160,RS
7107268,RS
7079235,RS
7068419,RS
3010020,RS
7053910,RS
7039418,RS
3010205,RS
7120337,RS
7109068,RS
7126586,RS
3010507,RS
7117021,RS
7125952,RS
3010209,RS
7119275,RS
7082168,RS
7038551,RS
7104036,RS
7126718,RS
7116455,RS
7074838,RS
7117081,RS
7101603,RS
3010719,RS
7088045,RS
7121429,RS
7109230,RS
7117383,RS
7121047,RS
7103015,RS
7109062,RS
7106372,RS
3010610,RS
7058861,RS
7079600,RS
7112139,RS
7066237,RS
7124064,RS
7091610,RS
7124661,RSB
7042313,RS
7039644,RS
7069696,RS
7108586,RS
7112041,RS
3010339,RSB
7052483,RS
7024429,RS
7095039,RS
7061617,RS
7123614,RS
3010270,RS
7112560,RS
7123209,RS
7114662,RS
7105669,RS
7040553,RS
3010152,RS
7035418,RS
7039796,RS
7068592,RS
3010297,RS
7118289,RS
7043812,RS
7101392,RS
7091602,RS
7093158,RS
7054351,RS
7112936,RS
7105310,RS
7126854,RS
3010317,RS
7109592,RS
7000017,RS
7072848,RS
7121940,RS
7115463,RS
7106832,RSB
7034683,RS
3010741,RS
7032204,RSB
7056110,RS
7064335,RS
7045659,RS
7022045,RSB
3010570,RS
7084955,RS
7040648,RSB
7081423,RS
7111281,RS
3010613,RS
7125755,RSB
7068274,RSB
7025853,RS
7058527,RS
7085266,RS
7043044,RS
7114135,RS
7099031,RSB
7020691,RSB
7120139,RS
7096295,RSB
7007940,RS
7104520,RS
7102605,RS
7114132,RS
7110075,RS
7045955,RS
7122844,RS
7124857,RS
7078240,RS
7117425,RS
7118699,RSB
7078891,RS
7038556,RS
7098742,RS
7121981,RS
7122374,RS
7099690,RS
7093815,RS
7115720,RS
7108779,RS
7003359,RS
7116954,RS
7125562,RS
7097548,RS
7112952,RS
5020004,RS
7103833,RS
7109737,RS
7116340,RS
7004806,RS
7085559,RS
7126271,RS
7098584,RS
7100579,RS
5020028,RS
7037330,RSB
7001377,RS
7070153,RS
7106096,RS
7117201,RS
7092834,RS
5020179,RSB
7006062,RS
7114058,RS
7088737,RS
7122672,RSB
7045111,RS
7017204,RS
5050299,RS
7113644,RSB
7085497,RS
7105180,RS
7043417,RSB
7119498,RSB
7023327,RS
7112096,RS
7100281,RS
7043852,RSB
7028634,RS
7123840,RS
7063199,RS
7103473,RS
7087750,RS
7073212,RSB
7023752,RS
7077961,RS
7104410,RS
7121063,RS
7112700,RS
5020009,RS
7087608,RS
7102806,RS
7108413,RS
7082922,RS
7081182,RS
7057846,RS
7093392,RS
7054810,RS
7020780,RSB
7120613,RS
7115451,RS
7104802,RS
7032238,RS
7086508,RS
7114906,RS
7118497,RSB
7086667,RS
7124696,RS
7113587,RS
7016846,RS
7126091,RS
7111352,RS
7109461,RS
5020015,RS
7088165,RSB
5020128,RS
7103775,RS
7064591,RS
7074598,RS
7039263,RS
7107497,RSB
7114086,RS
7026287,RS
7071523,RS
7108239,RSB
7088765,RSB
7112754,RS
5020016,RS
7122926,RS
7123589,RS
7115936,RS
7101113,RS
7117261,RS
7092683,RS
7111592,RS
7049166,RS
7068266,RS
7127054,RSB
7119735,RS
7102988,RS
7119065,RS
7120202,RS
7118440,RS
7105105,RSB
7110631,RS
7101987,RS
7074612,RS
7109615,RS
7111776,RS
7114679,RSB
7112730,RS
7103188,RS
7066819,RS
7114281,RS
7114283,RS
7049852,RS
7124768,RSB
7086548,RS
7125095,RS
7107396,RSB
7121018,RS
7043405,RS
7122881,RS
7101005,RS
7124858,RS
7107551,RS
7117510,RS
7125004,RS
7080000,RS
7120970,RS
7125171,RS
7119079,RS
7115900,RS
7112133,RSB
7119604,RS
7118902,RS
7124870,RS
7120433,RSB
2031212,RSB
7109346,RSB
7043190,RSB
7059255,RS
7116415,RS
2030656,RS
7085382,RS
2030434,RS
7121443,RS
7119507,RS
7123609,RS
7116068,RS
7124972,RS
7118630,RS
7112186,RS
7115043,RS
7123884,RSB
7119306,RS
7119228,RSB
7091504,RS
7114141,RS
7100249,RS
7072847,RS
7074064,RS
7111846,RS
7118375,RS
7119776,RS
7036478,RS
7110497,RS
7105107,RS
7113561,RS
7115713,RS
7126036,RSB
7099249,RS
7118209,RS
7118582,RSB
7115860,RSB
7112919,RS
7125713,RS
7123984,RS
7124651,RS
7104602,RS
7126430,RSB
7109685,RS
7119263,RSB
7116667,RSB
7118892,RS
7125145,RS
7089119,RS
7098203,RS
7099365,RSB
7106432,RS
7051290,RS
7117141,RS
7119681,RS
7101705,RS
7121800,RS
7023556,RS
7119964,RS
7124096,RSB
7111541,RS
7112800,RS
7120103,RS
7117299,RS
7098325,RS
7111149,RSB
7116520,RS
7124327,RS
7124885,RS
7104894,RS
7067971,RS
7098830,RS
7096245,RS
7119524,RS
7126188,RS
7121799,RS
7115293,RS
7115292,RS
7076717,RS
7118670,RSB
7126507,RS
7117630,RSB
7124321,RS
7118992,RS
7105170,RS
7085426,RSB
2030985,RS
7079980,RS
7121974,RS
7111332,RS
7121999,RS
7119434,RS
7103087,RS
2030425,RSB
7117838,RS
7099832,RS
7118876,RS
7103043,RS
7117379,RS
2030354,RS
7041924,RS
7117537,RS
7110669,RS
7110964,RS
2030031,RS
7109746,RS
7112370,RS
7089263,RSB
7108865,RS
7122072,RS
7081611,RS
7111114,RS
7100992,RS
7078295,RS
7101970,RS
7120361,RS
7064462,RS
7118012,RS
7094014,RS
2030574,RS
2030353,RS
7117905,RS
7118814,RS
7117804,RS
7125156,RSB
7122402,RS
7124773,RS
7127400,RS
7125957,RS
7104191,RS
7126327,RS
7117309,RSB
7121966,RS
7108288,RS
7108890,RSB
7094138,RS
7061722,RS
7114849,RS
7009009,RSB
7123118,RS
7123401,RSB
7097000,RS
7110105,RS
7123998,RS
7122396,RS
7125140,RSB
7117015,RS
7118935,RSB
7108443,RS
7113366,RS
7104439,RS
7119544,RS
7073102,RS
7107095,RS
7115928,RS
7099736,RS
7116768,RS
7105249,RS
7054619,RSB
7118140,RSB
7118423,RS
7102345,RS
7111844,RSB
7088824,RS
7090215,RS
7060496,RS
7121107,RS
7079243,RS
7099068,RS
7108494,RS
7123607,RS
7115307,RS
7119317,RS
7093040,RS
7105995,RS
7108823,RS
7093167,RS
7111228,RS
7073718,RS
7119880,RSB
7119527,RS
7125354,RS
7105940,RS
7108916,RS
7114894,RS
7109764,RS
7053195,RS
7125584,RS
7108765,RS
7100258,RSB
7123088,RSB
7116301,RSB
7118502,RS
7109972,RS
7111722,RS
7114440,RS
7004859,RS
2030479,RS
7122495,RS
7060835,RS
7110220,RS
7102354,RS
7105698,RS
7121809,RS
7116762,RS
2030677,RS
7108379,RS
7119543,RSB
7055186,RS
7108748,RS
7092375,RS
7090885,RS
7120292,RS
7116460,RSB
7110772,RS
7122411,RS
7080286,RS
7122307,RSB
7124827,RSB
7108772,RSB
7116110,RS
7107138,RSB
7040310,RS
7118403,RS
7121645,RS
7056602,RS
7114293,RSB
7126314,RS
7124994,RSB
7094049,RS
7103621,RS
7096675,RS
7119606,RS
7087918,RS
7122840,RS
7102571,RS
7065154,RS
7103674,RS
7118690,RS
7103354,RS
7113534,RS
7103781,RS
7104538,RS
7117002,RS
7118584,RSB
7112561,RS
7124988,RSB
7126022,RSB
7127530,RS
7071992,RSB
7103027,RS
2030101,RS
7121684,RS
7122201,RS
7121190,RS
7119872,RS
7124895,RSB
7063142,RS
7121893,RS
7102016,RS
7064706,RS
7126342,RS
7125831,RS
7110210,RS
7121469,RS
7113701,RSB
7125472,RSB
7115165,RS
7078301,RS
7094444,RS
7119997,RSB
7004671,RSB
2031236,RS
7125849,RS
7119676,RS
7119724,RS
7124749,RSB
7008863,RS
7112826,RS
7079320,RS
7106568,RS
7122051,RS
7109278,RS
7126676,RS
7120190,RSB
7124691,RSB
7118678,RS
7074023,RS
7092221,RS
7118934,RS
7116180,RS
7120530,RS
7049102,RSB
7080367,RS
7119319,RS
7049077,RS
7098390,RSB
7106660,RS
7067919,RSB
7059319,RS
7087612,RS
7114820,RS
7084559,RS
7114151,RS
7125768,RS
7125720,RSB
7123096,RS
7121111,RS
7101191,RS
7096704,RS
7085185,RS
7119227,RS
7117244,RS
7084896,RS
7120299,RSB
7089656,RS
7100007,RS
2030865,RSB
7110195,RS
7124067,RSB
7122129,RS
7104570,RS
7046964,RSB
2031051,RS
7087727,RSB
7113373,RSB
7121223,RS
7121895,RS
7115898,RS
7121806,RS
7109977,RS
7117909,RS
7090447,RS
7101979,RS
7112928,RSB
7108285,RS
7111630,RS
7114899,RS
7089616,RS
7126576,RS
7124734,RS
7126629,RSB
7117441,RSB
7123514,RSB
7115432,RSB
7114624,RSB
7123546,RSB
7120785,RS
7122262,RSB
7110998,RS
7111833,RS
7114120,RS
7113734,RS
7114382,RS
7109842,RSB
7104846,RS
7127303,RSB
7115269,RSB
7120842,RS
7113533,RSB
7073366,RSB
7119977,RS
7122938,RS
7100076,RS
7121537,RS
7125671,RS
7116087,RS
7126819,RSB
7105739,RSB
2030533,RS
2030250,RSB
7082943,RS
7118768,RS
7089823,RSB
7120867,RS
7117454,RS
7049119,RS
7108973,RSB
7103985,RSB
7116688,RS
7092669,RSB
7103205,RS
7013731,RS
7118303,RSB
7124291,RSB
7107754,RSB
2030140,RS
7099086,RS
2031064,RS
7121951,RS
7122625,RSB
7102869,RS
7121680,RSB
7116265,RS
7119348,RS
7106494,RS
7123437,RSB
7064860,RSB
7108340,RS
7112777,RS
7107411,RS
7122472,RSB
7117463,RS
7099540,RS
7109743,RS
2310196,RSB
7125076,RSB
7057791,RS
7118663,RS
7089204,RS
7114011,RS
7064314,RS
2030979,RS
7123237,RS
7119271,RSB
7125512,RS
7116987,RSB
7121456,RS
7021761,RS
7118714,RS
7094556,RS
7103356,RS
7106123,RS
7122526,RS
7115789,RS
7076899,RS
7127520,RSB
7074475,RS
7124668,RS
7121080,RSB
7115876,RSB
7119436,RS
7118599,RS
7047035,RS
7104647,RS
7119846,RS
7111535,RS
7095320,RS
7110764,RS
7106344,RS
7104193,RS
7087925,RS
7126553,RS
7115839,RS
7061364,RS
7117080,RS
7118260,RSB
7000262,RSB
7111523,RS
7123429,RS
7116300,RS
7126426,RS
7119213,RS
7116529,RS
7100341,RS
7093753,RSB
7113262,RS
7109884,RS
7122480,RS
7121139,RS
7124503,RS
7106957,RS
7127496,RSB
7035814,RS
7114433,RS
7118653,RS
7124409,RS
7115668,RS
2030012,RS
7083566,RS
7111419,RSB
7125625,RS
7119270,RS
7116159,RS
7040562,RSB
7108223,RS
7117786,RS
7125005,RS
7126013,RS
7119196,RS
7103153,RS
7102725,RS
7116646,RS
7118100,RSB
7121487,RS
7126108,RS
7107216,RS
7113016,RS
7117197,RS
7111229,RSB
7125764,RSB
7104031,RS
7125716,RS
7113575,RS
7102936,RS
7104574,RS
7124623,RS
7114456,RS
7116611,RSB
7116557,RS
7125882,RS
7098264,RS
7115872,RS
7111935,RS
7119481,RS
7118771,RS
7119258,RS
7108884,RS
7038610,RSB
7122416,RSB
7108207,RS
7127232,RS
7120910,RS
7112868,RS
7104951,RS
7119037,RS
7126870,RS
7118885,RSB
7113747,RSB
2030960,RS
7124963,RS
7121339,RS
7108807,RS
7113405,RS
7090824,RS
7118543,RS
7103967,RS
2031357,RS
7098064,RS
7102294,RS
7115895,RS
7091681,RS
7120369,RS
7106287,RS
7085627,RSB
7061687,RS
7124952,RS
7052751,RSB
7113530,RS
7095394,RS
2031248,RS
7097567,RS
7059073,RS
7121093,RS
7117862,RS
7066060,RS
7110110,RS
7068006,RS
7124805,RS
7119459,RS
7070519,RS
7114334,RSB
7114099,RS
7114700,RS
7112728,RS
7119756,RS
7116802,RS
7105990,RS
