Facility #,Facility Name,Facility Name Overflow,Facility Street,Owner Name ,Owner Name Overflow,Original Issuance Date,Last Renewal Date,Expiration Date,Facility Zip Code
7123280,3 OK AUTO CARE INC  ,                    ,479 PEARL ST        ,JAMES UNDERWOOD     ,                    ,11/30/17,1/1/00,10/31/19,12202
7122554,518 MOTORSPORTS LLC ,                    ,479 SO PEARL ST     ,PEDRO CEDENO        ,                    ,8/1/17,1/1/00,7/31/19,12202
7116731,A 1 AUTOMOTIVE      ,                    ,707 THIRD STREET    ,CHAD J NICHOLS      ,                    ,10/10/13,1/1/00,9/30/15,12206
7063203,AAMCO TRANSMISSIONS ,IN THE ESTATE OF    ,1029 CENTRAL AVE    ,DUVA INC            ,                    ,5/27/93,4/2/19,4/30/21,12205
3010356,AAPG INC            ,                    ,808 CENTRAL AV      ,RONALD ABBOTT       ,                    ,5/19/80,5/15/20,5/31/22,12206
7116962,AASHARK AUTOMOTIVE  ,LLC                 ,1054 CENTRAL AVE    ,ANTHONY J ANDERSEN  ,                    ,11/27/13,1/1/00,10/31/15,12205
7001863,ABELE TRACTOR&EQUIP ,CO INC              ,72 EVERETT RD       ,RODNEY ABELE        ,                    ,9/22/81,6/25/19,8/31/21,12205
7121502,ACCESS AUTO SALES   ,AND SERVICE         ,68 FULLER ROAD      ,JOSEPH LOMBARDI     ,                    ,10/14/16,8/7/20,9/30/22,12205
7125522,ACTION ENTERPRISE 1 ,LLC                 ,9A NORMAN DRIVE     ,DIANE RICH WOLFE    ,                    ,4/30/19,1/1/00,3/31/21,12205
7068059,ADIRONDACK HERCULES ,TIRE CORP           ,2015 CENTRAL AV     ,LAWRENCE OSHEA      ,                    ,8/30/94,6/10/20,7/31/22,12205
7101239,ADIRONDACK HERCULES ,TIRE CORP           ,1610 WESTERN AVE    ,LAWRENCE OSHEA      ,                    ,2/22/06,12/27/19,1/31/22,12203
7098865,ADVANTAGE TRANSIT   ,GROUP INC           ,137 NO LARK STREET  ,GEORGE DEUTSCH      ,                    ,1/11/05,11/2/18,12/31/20,12210
7103688,ALBANY BATTERY INC  ,                    ,69 TERMINAL STREET  ,JOSEPH TREMBLEY     ,                    ,3/21/07,1/31/19,2/28/21,12206
7051229,ALBANY FOREIGN AUTO ,SERVICE             ,120 CATHERINE ST    ,WILLIAM MOESHEESH   ,CO INC THE          ,4/19/90,2/26/20,3/31/22,12202
3010134,ALBANY HONDA        ,                    ,390 NEW KARNER RD   ,JAF MOTORS INC      ,                    ,7/3/80,4/24/20,5/31/22,12205
7070582,ALBANY LIGHT TRUCK &,CAR REPAIR          ,4 ANDERSON DR       ,ALBANY LIGHT TRUCK  ,REPAIR SERVICE INC  ,5/2/95,4/16/19,4/30/21,12205
7073596,ALBANY MACK SALES   ,                    ,90 HARTS LA         ,SBD HOLDING COMPANY ,                    ,2/27/96,12/19/19,1/31/22,12204
