ID,NAICS_CODE,NAICS_DESC
5793230,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
53391362,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
11190023,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
17090028,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
23691706,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
25190712,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
30791016,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
30891754,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
47090505,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
9092879,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
30696101,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
38593901,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
12678414,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15992866,622110,CHILDREN'S HOSPITALS GENERAL
16192680,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
23792621,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
24392683,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
22093277,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
1931537,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5870563,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
13177954,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4671360,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
15671222,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
16971241,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
15371373,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
5371418,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
22830662,622310,EXTENDED CARE HOSPITALS (EXCEPT MENTAL SUBSTANCE ABUSE)
70990806,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
71794577,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
72590723,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
73790650,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
196162274,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
85531419,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
86630165,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
87130286,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
87531719,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
87931830,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS
90030265,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
2054311,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
151253226,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
159171301,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
163570394,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
164970748,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
160970056,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
152354971,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
15954660,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5854452,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
58796001,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS
59093436,622310,REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM DRUG ADDICTION)
23831825,622310,HOSPITALS SPECIALTY (EXCEPT PSYCHIATRIC SUBSTANCE ABUSE)
21891761,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
25692354,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
44792404,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
20092120,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
40992037,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
41092024,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
42292123,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
51092103,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
4894118,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
5094115,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
46594117,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
20595403,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS
