ID,OWNER
5793230,PROPRIETARY
53391362,PROPRIETARY
11190023,PROPRIETARY
17090028,PROPRIETARY
23691706,PROPRIETARY
25190712,PROPRIETARY
30791016,PROPRIETARY
30891754,PROPRIETARY
47090505,PROPRIETARY
9092879,PROPRIETARY
30696101,GOVERNMENT - LOCAL
38593901,GOVERNMENT - DISTRICT/AUTHORITY
12678414,PROPRIETARY
15992866,PROPRIETARY
16192680,PROPRIETARY
23792621,PROPRIETARY
24392683,PROPRIETARY
22093277,GOVERNMENT - DISTRICT/AUTHORITY
1931537,GOVERNMENT - DISTRICT/AUTHORITY
5870563,PROPRIETARY
13177954,NON-PROFIT
4671360,GOVERNMENT - STATE
15671222,GOVERNMENT - DISTRICT/AUTHORITY
16971241,PROPRIETARY
15371373,PROPRIETARY
5371418,GOVERNMENT - DISTRICT/AUTHORITY
22830662,PROPRIETARY
70990806,PROPRIETARY
71794577,NOT AVAILABLE
72590723,PROPRIETARY
73790650,GOVERNMENT - STATE
196162274,GOVERNMENT - LOCAL
85531419,NON-PROFIT
86630165,NOT AVAILABLE
87130286,NOT AVAILABLE
87531719,NOT AVAILABLE
87931830,NOT AVAILABLE
90030265,PROPRIETARY
2054311,GOVERNMENT - LOCAL
151253226,NOT AVAILABLE
159171301,NOT AVAILABLE
163570394,NOT AVAILABLE
164970748,GOVERNMENT - STATE
160970056,PROPRIETARY
152354971,NOT AVAILABLE
15954660,GOVERNMENT - FEDERAL
5854452,NON-PROFIT
58796001,PROPRIETARY
59093436,PROPRIETARY
23831825,GOVERNMENT - DISTRICT/AUTHORITY
21891761,NON-PROFIT
25692354,NON-PROFIT
44792404,NON-PROFIT
20092120,NON-PROFIT
40992037,NON-PROFIT
41092024,NON-PROFIT
42292123,NON-PROFIT
51092103,NON-PROFIT
4894118,NON-PROFIT
5094115,NON-PROFIT
46594117,NON-PROFIT
20595403,NON-PROFIT
19594590,NON-PROFIT
53195695,NON-PROFIT
1294609,NON-PROFIT
39794578,NON-PROFIT
46694545,NON-PROFIT
45995204,NON-PROFIT
46095204,NON-PROFIT
13291741,NON-PROFIT
14791204,NON-PROFIT
19090027,NON-PROFIT
19391402,NON-PROFIT
36691356,NON-PROFIT
42990020,NON-PROFIT
50190716,NON-PROFIT
45295422,NON-PROFIT
6193638,NON-PROFIT
11792270,NON-PROFIT
15295124,NON-PROFIT
20495051,NON-PROFIT
27094304,NON-PROFIT
19494063,NON-PROFIT
18094520,NON-PROFIT
47794509,NON-PROFIT
19995825,NON-PROFIT
43195945,NON-PROFIT
24690623,NON-PROFIT
38492673,NON-PROFIT
13795991,NON-PROFIT
10230143,NON-PROFIT
15530606,NON-PROFIT
14130080,NON-PROFIT
1553715,NON-PROFIT
8253213,NON-PROFIT
9753097,NON-PROFIT
4354923,NON-PROFIT
63072758,NOT AVAILABLE
10454024,NON-PROFIT
11854017,NON-PROFIT
12453081,NON-PROFIT
13154665,NON-PROFIT
72390241,NON-PROFIT
72790503,NON-PROFIT
58592354,NON-PROFIT
15254904,NON-PROFIT
75420007,GOVERNMENT - STATE
31233525,PROPRIETARY
7233484,PROPRIETARY
36034758,PROPRIETARY
36232068,NON-PROFIT
36334471,PROPRIETARY
36634997,PROPRIETARY
12142728,NON-PROFIT
13050144,GOVERNMENT - LOCAL
4466032,NON-PROFIT
7567860,GOVERNMENT - LOCAL
7767467,NON-PROFIT
372903,NON-PROFIT
7472901,PROPRIETARY
9700000,NON-PROFIT
