ID,TYPE
5793230,GENERAL ACUTE CARE
53391362,GENERAL ACUTE CARE
11190023,GENERAL ACUTE CARE
17090028,GENERAL ACUTE CARE
23691706,GENERAL ACUTE CARE
25190712,GENERAL ACUTE CARE
30791016,GENERAL ACUTE CARE
30891754,GENERAL ACUTE CARE
47090505,PSYCHIATRIC
9092879,GENERAL ACUTE CARE
30696101,GENERAL ACUTE CARE
38593901,GENERAL ACUTE CARE
12678414,GENERAL ACUTE CARE
15992866,CHILDREN
16192680,GENERAL ACUTE CARE
23792621,GENERAL ACUTE CARE
24392683,GENERAL ACUTE CARE
22093277,GENERAL ACUTE CARE
1931537,GENERAL ACUTE CARE
5870563,GENERAL ACUTE CARE
13177954,GENERAL ACUTE CARE
4671360,PSYCHIATRIC
15671222,GENERAL ACUTE CARE
16971241,PSYCHIATRIC
15371373,LONG TERM CARE
5371418,GENERAL ACUTE CARE
22830662,LONG TERM CARE
70990806,GENERAL ACUTE CARE
71794577,GENERAL ACUTE CARE
72590723,LONG TERM CARE
73790650,PSYCHIATRIC
196162274,CRITICAL ACCESS
85531419,GENERAL ACUTE CARE
86630165,LONG TERM CARE
87130286,GENERAL ACUTE CARE
87531719,GENERAL ACUTE CARE
87931830,LONG TERM CARE
90030265,GENERAL ACUTE CARE
2054311,PSYCHIATRIC
151253226,GENERAL ACUTE CARE
159171301,GENERAL ACUTE CARE
163570394,GENERAL ACUTE CARE
164970748,GENERAL ACUTE CARE
160970056,REHABILITATION
152354971,CRITICAL ACCESS
15954660,MILITARY
5854452,GENERAL ACUTE CARE
58796001,PSYCHIATRIC
59093436,REHABILITATION
23831825,CRITICAL ACCESS
21891761,GENERAL ACUTE CARE
25692354,GENERAL ACUTE CARE
44792404,GENERAL ACUTE CARE
20092120,GENERAL ACUTE CARE
40992037,GENERAL ACUTE CARE
41092024,GENERAL ACUTE CARE
42292123,WOMEN
51092103,GENERAL ACUTE CARE
4894118,GENERAL ACUTE CARE
5094115,GENERAL ACUTE CARE
46594117,GENERAL ACUTE CARE
20595403,GENERAL ACUTE CARE
19594590,GENERAL ACUTE CARE
53195695,GENERAL ACUTE CARE
1294609,GENERAL ACUTE CARE
39794578,GENERAL ACUTE CARE
46694545,GENERAL ACUTE CARE
45995204,PSYCHIATRIC
46095204,GENERAL ACUTE CARE
13291741,GENERAL ACUTE CARE
14791204,GENERAL ACUTE CARE
19090027,GENERAL ACUTE CARE
19391402,GENERAL ACUTE CARE
36691356,GENERAL ACUTE CARE
42990020,GENERAL ACUTE CARE
50190716,GENERAL ACUTE CARE
45295422,GENERAL ACUTE CARE
6193638,CHILDREN
11792270,GENERAL ACUTE CARE
15295124,GENERAL ACUTE CARE
20495051,GENERAL ACUTE CARE
27094304,GENERAL ACUTE CARE
19494063,GENERAL ACUTE CARE
18094520,GENERAL ACUTE CARE
47794509,GENERAL ACUTE CARE
19995825,GENERAL ACUTE CARE
43195945,GENERAL ACUTE CARE
24690623,GENERAL ACUTE CARE
38492673,GENERAL ACUTE CARE
13795991,GENERAL ACUTE CARE
10230143,GENERAL ACUTE CARE
15530606,GENERAL ACUTE CARE
14130080,PSYCHIATRIC
1553715,GENERAL ACUTE CARE
8253213,PSYCHIATRIC
9753097,GENERAL ACUTE CARE
4354923,GENERAL ACUTE CARE
63072758,GENERAL ACUTE CARE
10454024,GENERAL ACUTE CARE
11854017,GENERAL ACUTE CARE
12453081,GENERAL ACUTE CARE
13154665,GENERAL ACUTE CARE
72390241,GENERAL ACUTE CARE
72790503,GENERAL ACUTE CARE
58592354,CHILDREN
15254904,GENERAL ACUTE CARE
75420007,GENERAL ACUTE CARE
31233525,GENERAL ACUTE CARE
7233484,GENERAL ACUTE CARE
36034758,GENERAL ACUTE CARE
36232068,GENERAL ACUTE CARE
36334471,REHABILITATION
36634997,REHABILITATION
12142728,GENERAL ACUTE CARE
13050144,GENERAL ACUTE CARE
4466032,CRITICAL ACCESS
7567860,CRITICAL ACCESS
7767467,CRITICAL ACCESS
372903,GENERAL ACUTE CARE
7472901,REHABILITATION
9700000,GENERAL ACUTE CARE
10172143,GENERAL ACUTE CARE
10272834,CRITICAL ACCESS
2271923,CRITICAL ACCESS
872616,CRITICAL ACCESS
1072632,CRITICAL ACCESS
2871653,REHABILITATION
671671,CRITICAL ACCESS
8872455,GENERAL ACUTE CARE
