Serial Number,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other
2184964,HL,242,921965,ADELPHI HOTEL PARTNERS LLC RBC HOTELS LLC &,ADELPHI HOTEL MT LLC DBA: ADELPHI HOTEL,365 BROADWAY,Not Available,12866,5/29/20,5/31/22,HOTEL SERVING BEER WINE CIDER AND LIQUOR,Not Available,Licensed Patio Live/Recorded Music Dancing Permitted
2214659,AX,122,910839,BEVERLY DR 2013 INC,A & A MART,4137 W GENESEE ST,BEVERLY DR T/CAMILLUS,13219,3/15/19,2/28/22,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1306138,OP,252,922570,SSP AMERICA KCGI JFK T7 LLC,LE GRAND COMPTOIR,JFK INTL AIRPT TERM 7 SPCE F12,Not Available,11430,6/26/20,6/30/22,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,Not Available,Recorded music
3163683,RW,341,798473,CN FOOD ENTERPRISE LLC,THE CRABMAN,341 FRANKLIN ST,Not Available,14202,2/13/20,1/31/22,RESTAURANT SERVING WINE BEER AND CIDER,Recorded Music,Licensed Patio Garden/Yard
2210044,RW,341,841791,SAKURA JAPANESE CUISINE ROCKLAND INC,SAKURA JAPANESE CUISINE,22 HOLT DR,STE 105,10980,12/23/19,1/31/22,RESTAURANT SERVING WINE BEER AND CIDER,Not Available,Recorded Music
1166946,OP,252,913854,JWS ENTERPRISES INC,EASTSIDE BILLIARDS & BAR,163 165 E 86TH STREET  2ND FL,3RD &  LEXINGTON,10028,12/26/19,12/31/21,TAVERN SERVING BEER WINE CIDER AND LIQUOR,Not Available,Billiard Hall
1229272,AX,122,922950,BEST YET MARKET OF MASSAPEQUA INC,Not Available,56 01 MERRICK ROAD,WASHINGTON AVE & CARMAN MILL R,11758,12/12/19,11/30/21,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
2206302,OP,252,913454,THAI THAI INC,THAI THAI BISTRO,2309 NOTT ST E,STE 307,12309,12/6/19,12/31/21,RESTAURANT SERVING LIQUOR WINE BEER AND CIDER,Not Available,Recorded Music Licensed Patio
1294112,RW,341,932898,KINTARO FOODS LLC,BESSOU,5 BLEECKER ST,Not Available,10012,8/3/20,6/30/22,RESTAURANT SERVING WINE BEER AND CIDER,CB2 Stips:  11:30am to 11:00pm Sun-Thurs and 11:00am to 11:30pm Fri - Sat,Recorded Music Permitted No Dancing and Use of Outdoor Space is Prohibited
2200525,OP,252,913256,BWP2 WEST INC,BWP2 WEST,2 WEST AVE,STE 100,12866,11/29/19,11/30/21,RESTAURANT SERVING BEER CIDER WINE & LIQUOR,City Stips: Alcohol not served after 2:00 AM,Recorded/DJ Music No Dancing Licensed Patios
1313782,AX,122,910508,DELICIOUS GOURMET FOOD MARKET CORP,Not Available,738 NOSTRAND AVE,Not Available,11216,11/30/18,10/31/21,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,Not Available,Not Available
1256797,OP,252,911116,EL RANCHO LOS COMPADRES CORP,Not Available,110 SHERMAN AVE,DYCKMAN ST & ACADEMY ST,10034,9/23/19,9/30/21,RESTAURANT SERVING LIQUOR WINE CIDER AND BEER,Not Available,RECRODED MUSIC
1045415,CL,243,914155,ANCIENT ORDER LAND CORP,ANCIENT ORDER OF HIBERNIANS DIV #7,65 CHAMPLIN AVE,Not Available,11730,1/9/20,2/28/22,CLUB TAVERN SERVING BEER CIDER WINE AND LIQUOR,Not Available,Members Only
2140721,WS,308,911054,GRAPE VISIONS LLC,DUSTED VALLEY VINTNERS,1248 OLD MILTON HIGHWAY,Not Available,99362,11/30/18,12/31/21,OUT OF STATE DIRECT SHIPPER,Not Available,Not Available
1227540,AX,122,911114,JOSE A TEJADA,J S GROCERY,1145 GLENMORE AVE,SHERIDAN AVE & GLENDALE AVE,11208,12/4/18,11/30/21,GROCERY BEER CIDER & WINE PRODUCTS,Not Available,Not Available
