ZIP,COUNTY,CITY,STATE
93230,KINGS,HANFORD,CA
91362,VENTURA,WESTLAKE VILAGE,CA
90023,LOS ANGELES,LOS ANGELES,CA
90028,LOS ANGELES,HOLLYWOOD,CA
91706,LOS ANGELES,BALDWIN PARK,CA
90712,LOS ANGELES,LAKEWOOD,CA
91016,LOS ANGELES,MONROVIA,CA
91754,LOS ANGELES,MONTEREY PARK,CA
90505,LOS ANGELES,TORRANCE,CA
92879,RIVERSIDE,CORONA,CA
96101,MODOC,ALTURAS,CA
93901,MONTEREY,SALINAS,CA
78414,NUECES,CORPUS CHRISTI,TX
92866,ORANGE,ORANGE,CA
92680,ORANGE,TUSTIN,CA
92621,ORANGE,BREA,CA
92683,ORANGE,WESTMINSTER,CA
93277,TULARE,VISALIA,CA
31537,CHARLTON,FOLKSTON,GA
70563,IBERIA,NEW IBERIA,LA
77954,HOUSTON,CROCKETT,TX
71360,RAPIDES,PINEVILLE,LA
71222,UNION,BERNICE,LA
71241,UNION,FARMERVILLE,LA
71373,CONCORDIA,VIDALIA,LA
71418,CALDWELL,COLUMBIA,LA
30662,FRANKLIN,ROYSTON,GA
90806,LOS ANGELES,LONG BEACH,CA
94577,ALAMEDA,SAN LEANDRO,CA
90723,LOS ANGELES,PARAMOUNT,CA
90650,LOS ANGELES,NORWALK,CA
62274,PERRY,PINCKNEYVILLE,IL
31419,CHATHAM,SAVANNAH,GA
30165,FLOYD,ROME,GA
30286,UPSON,THOMASTON,GA
31719,SUMTER,AMERICUS,GA
31830,MERIWETHER,WARM SPRINGS,GA
30265,COWETA,NEWNAN,GA
54311,BROWN,GREEN BAY,WI
53226,MILWAUKEE,WAUWATOSA,WI
71301,RAPIDES,ALEXANDRIA,LA
70394,LAFOURCHE,RACELAND,LA
70748,EAST FELICIANA,JACKSON,LA
70056,JEFFERSON,GRETNA,LA
54971,FOND DU LAC,RIPON,WI
54660,MONROE,TOMAH,WI
54452,LINCOLN,MERRILL,WI
96001,SHASTA,REDDING,CA
93436,SANTA BARBARA,LOMPOC,CA
31825,STEWART,RICHLAND,GA
91761,SAN BERNARDINO,ONTARIO,CA
92354,SAN BERNARDINO,LOMA LINDA,CA
92404,SAN BERNARDINO,SAN BERNARDINO,CA
92120,SAN DIEGO,SAN DIEGO,CA
92037,SAN DIEGO,LA JOLLA,CA
92024,SAN DIEGO,ENCINITAS,CA
92123,SAN DIEGO,SAN DIEGO,CA
92103,SAN DIEGO,SAN DIEGO,CA
94118,SAN FRANCISCO,SAN FRANCISCO,CA
94115,SAN FRANCISCO,SAN FRANCISCO,CA
94117,SAN FRANCISCO,SAN FRANCISCO,CA
95403,SONOMA,SANTA ROSA,CA
94590,SOLANO,VALLEJO,CA
95695,YOLO,WOODLAND,CA
94609,ALAMEDA,OAKLAND,CA
94578,ALAMEDA,SAN LEANDRO,CA
94545,ALAMEDA,HAYWARD,CA
95204,SAN JOAQUIN,STOCKTON,CA
91741,LOS ANGELES,GLENDORA,CA
91204,LOS ANGELES,GLENDALE,CA
90027,LOS ANGELES,LOS ANGELES,CA
91402,LOS ANGELES,PANORAMA CITY,CA
91356,LOS ANGELES,TARZANA,CA
90020,LOS ANGELES,LOS ANGELES,CA
90716,LOS ANGELES,HAWAIIAN GARDENS,CA
95422,LAKE,CLEARLAKE,CA
93638,MADERA,MADERA,CA
92270,RIVERSIDE,RANCHO MIRAGE,CA
95124,SANTA CLARA,SAN JOSE,CA
95051,SANTA CLARA,SANTA CLARA,CA
94304,SANTA CLARA,PALO ALTO,CA
94063,SAN MATEO,REDWOOD CITY,CA
94520,CONTRA COSTA,CONCORD,CA
94509,CONTRA COSTA,ANTIOCH,CA
95825,SACRAMENTO,SACRAMENTO,CA
95945,NEVADA,GRASS VALLEY,CA
90623,ORANGE,LA PALMA,CA
92673,ORANGE,SAN CLEMENTE,CA
95991,SUTTER,YUBA CITY,CA
30143,PICKENS,JASPER,GA
30606,CLARKE,ATHENS,GA
30080,COBB,SMYRNA,GA
53715,DANE,MADISON,WI
53213,MILWAUKEE,WAUWATOSA,WI
53097,OZAUKEE,MEQUON,WI
54923,GREEN LAKE,BERLIN,WI
72758,BENTON,ROGERS,AR
54024,POLK,SAINT CROIX FALLS,WI
54017,ST. CROIX,NEW RICHMOND,WI
53081,SHEBOYGAN,SHEBOYGAN,WI
54665,VERNON,VIROQUA,WI
90241,LOS ANGELES,DOWNEY,CA
90503,LOS ANGELES,TORRANCE,CA
54904,WINNEBAGO,OSHKOSH,WI
20007,DISTRICT OF COLUMBIA,WASHINGTON,DC
33525,PASCO,DADE CITY,FL
33484,PALM BEACH,DELRAY BEACH,FL
34758,OSCEOLA,KISSIMMEE,FL
32068,CLAY,MIDDLEBURG,FL
34471,MARION,OCALA,FL
34997,MARTIN,STUART,FL
42728,ADAIR,COLUMBIA,KY
50144,DECATUR,LEON,IA
66032,ANDERSON,GARNETT,KS
67860,KEARNY,LAKIN,KS
67467,OTTAWA,MINNEAPOLIS,KS
72903,SEBASTIAN,FORT SMITH,AR
72901,SEBASTIAN,FORT SMITH,AR
72143,WHITE,SEARCY,AR
72834,YELL,DARDANELLE,AR
71923,CLARK,ARKADELPHIA,AR
72616,CARROLL,BERRYVILLE,AR
72632,CARROLL,EUREKA SPRINGS,AR
71653,CHICOT,LAKE VILLAGE,AR
71671,BRADLEY,WARREN,AR
72455,RANDOLPH,POCAHONTAS,AR
71742,DALLAS,FORDYCE,AR
72301,CRITTENDEN,WEST MEMPHIS,AR
71701,OUACHITA,CAMDEN,AR
72601,BOONE,HARRISON,AR
72560,STONE,MOUNTAIN VIEW,AR
72454,CLAY,PIGGOTT,AR
72543,CLEBURNE,HEBER SPRINGS,AR
72110,CONWAY,MORRILTON,AR
72205,PULASKI,LITTLE ROCK,AR
72117,PULASKI,LITTLE ROCK,AR
72113,PULASKI,MAUMELLE,AR
71901,GARLAND,HOT SPRINGS,AR
71913,GARLAND,HOT SPRINGS,AR
72104,HOT SPRING,MALVERN,AR
71603,JEFFERSON,PINE BLUFF,AR
72703,WASHINGTON,FAYETTEVILLE,AR
31404,CHATHAM,SAVANNAH,GA
72762,WASHINGTON,SPRINGDALE,AR
54915,OUTAGAMIE,APPLETON,WI
71953,POLK,MENA,AR
72927,LOGAN,BOONEVILLE,AR
72855,LOGAN,PARIS,AR
72396,CROSS,WYNNE,AR
53211,MILWAUKEE,MILWAUKEE,WI
85622,PIMA,GREEN VALLEY,AZ
72160,ARKANSAS,STUTTGART,AR
42539,CASEY,LIBERTY,KY
40336,ESTILL,IRVINE,KY
41653,FLOYD,PRESTONSBURG,KY
40207,JEFFERSON,LOUISVILLE,KY
40215,JEFFERSON,LOUISVILLE,KY
40031,OLDHAM,LAGRANGE,KY
48624,GLADWIN,GLADWIN,MI
